Naziv stavke,Šifra stavke,KPD,Jedinična cijena,Mjerna jedinica,Zadani popust,Porezna stopa,Osnova oslobođenja,Razlog oslobođenja od PDV-a,Opis
Blupura Blusoda Black 30 Fizz + automatski dozator,,28.29.12,"2.625,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Blusoda Black Hot 30,,28.29.12,"2.031,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 30l/h"
Blupura Blusoda Black Hot 30 Fizz,,28.29.12,"2.753,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 30 l/h"
Blupura Blusoda Touch Free 30,,28.29.12,"1.828,00",piece,,25,,,nerashlađena i hladna voda: 30 l/h
Blupura Blusoda Touch Free 30 Fizz,,28.29.12,"2.554,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Blusoda 45,,28.29.12,"1.839,00",piece,,25,,,nerashlađena i hladna voda: 45 l/h
Blupura Blusoda 45 Fizz,,28.29.12,"2.566,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 45 l/h"
Blupura Blusoda 45 Fizz + automatski dozator,,28.29.12,"2.863,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 45 l/h"
Blupura Blusoda Plus 45 Fizz,,28.29.12,"2.668,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 45 l/h"
Blupura Blusoda Plus 45 Fizz + automatski dozator,,28.29.12,"2.965,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 45 l/h"
Blupura Blusoda Plus 45 Mix,,28.29.12,"2.736,00",piece,,25,,,"gazirana, polugazirana i hladna voda: 45 l/h"
Blupura Blusoda Hot 45 ,,28.29.12,"2.265,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 45 l/h"
Blupura Blusoda Hot 45 Fizz,,28.29.12,"2.991,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 45 l/h"
Blupura Blusoda Black 45,,28.29.12,"2.015,00",piece,,25,,,nerashlađena i hladna voda: 45 l/h
Blupura Blusoda Black 45 Fizz,,28.29.12,"2.742,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 45 l/h"
Blupura Blusoda Black 45 Fizz + automatski dozator,,28.29.12,"3.039,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 45 l/h"
Blupura Blusoda Black Hot 45,,28.29.12,"2.441,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 45 l/h"
Blupura Blusoda Black Hot 45 Fizz,,28.29.12,"3.167,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 45 l/h"
Blupura Blujuice,,28.29.12,"5.438,00",piece,,25,,,"gazirana, hladna, za sok s automatskim dozatorom: 45 l/h"
Blupura Ecochic I.T. 80,,28.29.12,"3.040,00",piece,,25,,,nerashlađena i hladna voda s automatskim dozatorom: 80 l/h
Blupura Ecochic I.T. 80 Fizz,,28.29.12,"3.440,00 ",piece,,25,,,"gazirana, nerashlađena i hladna voda s automatskim dozatorom: 80 l/h"
Blupura Ecochic I.T. 150,,28.29.12,"3.573,00",piece,,25,,,nerashlađena i hladna voda s automatskim dozatorom: 150 l/h
Blupura Ecochic I.T. 150 Fizz,,28.29.12,"3.973,00",piece,,25,,,"gazirana, nerashlađena i hladna voda s automatskim dozatorom: 150 l/h"
"Blupura Ecochic ""Beer tap"" 80",,28.29.12,"2.565,00",piece,,25,,,nerashlađena i hladna voda: 80 l/h
"Blupura Ecochic ""Beer tap"" 80 Fizz",,28.29.12,"2.965,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 80 l/h"
"Blupura Ecochic ""Beer tap"" 150",,28.29.12," 3.099,00",piece,,25,,,nerashlađena i hladna voda: 150 l/h
"Blupura Ecochic ""Beer tap"" 150 Fizz",,28.29.12," 3.499,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 150 l/h"
"Blupura Blubar ""Beer tap"" 30",,28.29.12,"1.587,00",piece,,25,,,nerashlađena i hladna voda: 30 l/h
"Blupura Blubar ""Beer tap"" 30 Fizz",,28.29.12,"2.058,00",piece,,25,,,gazirana i hladna voda: 30 l/h
"Blupura Blubar ""Beer tap"" 60",,28.29.12,"1.872,00",piece,,25,,,nerashlađena i hladna voda: 60 l/h
"Blupura Blubar ""Beer tap"" 60 Fizz",,28.29.12,"2.272,00",piece,,25,,,gazirana i hladna voda: 60 l/h
"Blupura Blubar ""Beer tap"" 80",,28.29.12,"2.192,00",piece,,25,,,nerashlađena i hladna voda: 80 l/h
"Blupura Blubar ""Beer tap"" 80 Fizz",,28.29.12,"2.592,00",piece,,25,,,gazirana i hladna voda: 80 l/h
"Blupura Blubar ""Beer tap"" 150",,28.29.12,"2.725,00",piece,,25,,,nerashlađena i hladna voda: 150 l/h
"Blupura Blubar ""Beer tap"" 150 Fizz",,28.29.12,"3.125,00",piece,,25,,,gazirana i hladna voda: 150 l/h
 Blupura Blubar I.T. 60,,28.29.12,"2.059,00",piece,,25,,,nerashlađena i hladna voda: 60 l/h
Blupura Blubar I.T. 60 + automatski dozator,,28.29.12,"2.347,00",piece,,25,,,nerashlađena i hladna voda: 60 l/h
Blupura Blubar I.T. 60 Fizz,,28.29.12,"2.325,00",piece,,25,,,gazirana i hladna voda: 60 l/h
Blupura Blubar I.T. 60 Fizz + automatski dozator,,28.29.12,"2.613,00",piece,,25,,,gazirana i hladna voda: 60 l/h
Blupura Blubar I.T. 60 Fizz 3W,,28.29.12,"2.459,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 60 l/h"
Blupura Blubar I.T. 60 Fizz 3W + automatski dozator,,28.29.12,"2.747,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 60 l/h"
Blupura Blubar I.T. 80,,28.29.12,"2.379,00",piece,,25,,,nerashlađena i hladna voda: 80 l/h
Blupura Blubar I.T. 80 + automatski dozator,,28.29.12,"2.667,00",piece,,25,,,nerashlađena i hladna voda: 80 l/h
Blupura Blubar I.T. 80 Fizz,,28.29.12,"2.645,00",piece,,25,,,gazirana i hladna voda: 80 l/h
Blupura Blubar I.T. 80 Fizz + automatski dozator,,28.29.12,"2.933,00",piece,,25,,,gazirana i hladna voda: 80 l/h
Blupura Blubar I.T. 80 Fizz 3W,,28.29.12,"2.779,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 80 l/h"
Blupura Blubar I.T. 80 Fizz 3W + automatski dozator,,28.29.12,"3.067,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 80 l/h"
Blupura Blubar I.T. 150,,28.29.12,"2.912,00",piece,,25,,,nerashlađena i hladna voda: 150 l/h
Blupura Blubar I.T.150 + automatski dozator,,28.29.12,"3.200,00",piece,,25,,,nerashlađena i hladna voda: 150 l/h
Blupura Blubar I.T. 150 Fizz,,28.29.12,"3.179,00",piece,,25,,,gazirana i hladna voda: 150 l/h
Blupura Blubar I.T. 150 Fizz + automatski dozator,,28.29.12,"3.467,00",piece,,25,,,gazirana i hladna voda: 150 l/h
Blupura Bluglass 30,,28.29.12,"1.942,00",piece,,25,,,nerashlađena i hladna voda: 30 l/h
Blupura Bluglass 30 + automatski dozator,,28.29.12,"2.239,00",piece,,25,,,nerashlađena i hladna voda: 30 l/h
Blupura Bluglass 30 Fizz,,28.29.12,"2.554,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Bluglass 30 Fizz + automatski dozator,,28.29.12,"2.851,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Bluglass Hot 30,,28.29.12,"2.572,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 30 l/h"
Blupura Bluglass Hot 30 Fizz,,28.29.12,"3.179,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 30 l/h"
Blupura Bluglass I.T. 80,,28.29.12,"4.058,00",piece,,25,,,nerashlađena i hladna voda s automatskim dozatorom: 80 l/h
Blupura Bluglass I.T. 80 Fizz,,28.29.12,"4.660,00",piece,,25,,,"gazirana, nerashlađena i hladna voda s automatskim dozatorom: 80 l/h"
Blupura Bluglass “Beer tap” 80,,28.29.12,"3.565,00",piece,,25,,,nerashlađena i hladna voda: 80 l/h
Blupura Bluglass “Beer tap” 80 Fizz,,28.29.12,"4.154,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 80 l/h"
Blupura Bluglass Plus 80,,28.29.12,"5.676,00 ",piece,,25,,,"gazirana, nerashlađena i hladna voda s automatskim dozatorom: 80 l/h, lot"
Blupura Cool1 80,,28.29.12,"2.736,00",piece,,25,,,nerashlađena i hladna voda: 80 l/h
Blupura Cool1 80 Fizz,,28.29.12,"3.343,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 80 l/h"
Blupura Cool1 150,,28.29.12,"2.929,00",piece,,25,,,nerashlađena i hladna voda: 150 l/h
Blupura Cool1 150 Fizz,,28.29.12,"3.717,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 150 l/h"
Blupura Pantarei 20,,28.29.12,"1.153,00",piece,,25,,,hladna voda: 20 l/h
Blupura Hydrazon 15,,28.29.12,"874,00",piece,,25,,,nerashlađena i hladna voda: 15 l/h
Blupura Hydrazon 15 Fizz,,28.29.12,"1.623,00",piece,,25,,,"gazirana, polugazirana, nerashlađena i hladna voda: 15 l/h"
Blupura Hydrazon Hot 15,,28.29.12,"1.106,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 15 l/h"
Blupura Hydrazon Hot 15 Fizz,,28.29.12,"1.811,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 15 l/h"
Blupura Hydrazon Touch Free 15,,28.29.12,"1.187,00",piece,,25,,,nerashlađena i hladna voda: 15 l/h
Blupura Hydrazon Touch Free 15 Fizz,,28.29.12,"1.930,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 15 l/h"
Blupura Hydrazon Hot Touch Free 15,,28.29.12,"1.419,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 15 l/h"
Blupura Hydrazon 45,,28.29.12,"1.487,00",piece,,25,,,nerashlađena i hladna voda: 45 l/h
Blupura Hydrazon 45 Fizz,,28.29.12,"2.112,00",piece,,25,,,"gazirana, polugazirana, nerashlađena i hladna voda: 45l/h"
Blupura BCC,,28.29.12,"2.736,00",piece,,25,,,hladna voda: 30 l/h
Blupura BCC Fizz,,28.29.12,"3.428,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Wall 1 push button,,28.29.12,"1.003,00",piece,,25,,,hladna voda
